genes,label,Category_cl
RXRA,1,TF
RXRB,1,TF
RXRG,1,TF
RXYLT1,0,Protein Coding
RYBP,1,TF
RYK,0,Protein Coding
RYKP1,0,Pseudogene
RYR1,1,Protein Coding
RYR2,0,Protein Coding
RYR3,1,Protein Coding
S100A1,0,TF
S100A10,1,Protein Coding
S100A11,1,Protein Coding
S100A12,1,Protein Coding
S100A13,1,Protein Coding
S100A14,1,Protein Coding
S100A16,1,Protein Coding
S100A2,1,Protein Coding
S100A3,1,Protein Coding
S100A4,1,Protein Coding
S100A5,1,Protein Coding
S100A6,1,Protein Coding
S100A7,1,Protein Coding
S100A7A,0,Protein Coding
S100A8,1,Protein Coding
S100A9,1,Protein Coding
S100B,1,Protein Coding
S100G,0,Protein Coding
S100P,1,Protein Coding
S100PBP,0,Protein Coding
S100Z,1,Protein Coding
S1PR1,1,TF
S1PR2,1,Protein Coding
S1PR3,1,Protein Coding
S1PR4,1,Protein Coding
S1PR5,1,Protein Coding
SAA1,1,Protein Coding
SAA2,1,Protein Coding
SAA4,1,Protein Coding
SAAL1,1,Protein Coding
SAC3D1,1,Protein Coding
SACM1L,0,Protein Coding
SACS,1,Protein Coding
SACS-AS1,0,lncRNA
SAE1,0,Protein Coding
SAFB,1,TF
SAFB2,0,TF
SAG,0,Protein Coding
SAGE1,1,Protein Coding
SALL1,1,TF
SALL1P1,0,Pseudogene
SALL2,1,TF
SALL3,1,TF
SALL4,1,TF
SALL4P5,0,Pseudogene
SALL4P7,0,Pseudogene
SALRNA1,0,lncRNA
SALRNA2,0,lncRNA
SAMD1,0,Protein Coding
SAMD10,1,Protein Coding
SAMD11,1,Protein Coding
SAMD12,1,Protein Coding
SAMD13,0,Protein Coding
SAMD14,1,Protein Coding
SAMD15,0,Protein Coding
SAMD3,1,Protein Coding
SAMD4A,0,Protein Coding
SAMD4B,1,TF
SAMD5,1,Protein Coding
SAMD7,0,Protein Coding
SAMD8,1,Protein Coding
SAMD9,0,Protein Coding
SAMD9L,1,Protein Coding
SAMHD1,1,Protein Coding
SAMM50,0,Protein Coding
SAMMSON,0,lncRNA
SAMSN1,1,Protein Coding
SAMSN1-AS1,0,lncRNA
SAP130,1,TF
SAP18,0,TF
SAP25,0,Protein Coding
SAP30,1,TF
SAP30BP,0,TF
SAP30L,1,TF
SAP30L-AS1,0,lncRNA
SAPCD1,0,Protein Coding
SAPCD2,1,Protein Coding
SAPCD2P4,0,Pseudogene
SAR1A,0,Protein Coding
SAR1AP1,0,Pseudogene
SAR1B,0,Protein Coding
SARAF,0,Protein Coding
SARDH,1,Protein Coding
SARM1,0,Protein Coding
SARNP,1,TF
SARS1,0,Protein Coding
SARS2,1,Protein Coding
SART1,1,Protein Coding
SART3,1,TF
SASH1,1,Protein Coding
SASH3,1,Protein Coding
SASS6,1,Protein Coding
SAT1,1,Protein Coding
SAT2,1,Protein Coding
SATB1,1,TF
SATB1-AS1,0,lncRNA
SATB2,1,TF
SATB2-AS1,0,lncRNA
SATL1,0,Protein Coding
SAV1,1,Protein Coding
SAXO1,0,Protein Coding
SAXO2,1,Protein Coding
SAYSD1,1,Protein Coding
SBDS,0,Protein Coding
SBDSP1,0,Pseudogene
SBF1,0,Protein Coding
SBF1P1,0,Pseudogene
SBF2,1,Protein Coding
SBF2-AS1,1,lncRNA
SBK1,1,Protein Coding
SBK2,0,Protein Coding
SBK3,0,Protein Coding
SBNO1,1,Protein Coding
SBNO2,1,TF
SBSN,0,Protein Coding
SBSPON,1,Protein Coding
SC5D,1,Protein Coding
SCAANT1,0,lncRNA
SCAF1,1,TF
SCAF11,1,Protein Coding
SCAF4,1,Protein Coding
SCAF8,0,Protein Coding
SCAI,0,Protein Coding
SCAMP1,1,Protein Coding
SCAMP1-AS1,1,lncRNA
SCAMP2,0,Protein Coding
SCAMP3,1,Protein Coding
SCAMP4,1,Protein Coding
SCAMP5,1,Protein Coding
SCAND1,1,TF
SCAND2P,0,Pseudogene
SCAP,1,Protein Coding
SCAPER,0,TF
SCARA3,1,Protein Coding
SCARA5,1,Protein Coding
SCARB1,1,Protein Coding
SCARB2,0,Protein Coding
SCARF1,1,Protein Coding
SCARF2,1,Protein Coding
SCARNA1,0,other
SCARNA11,0,other
SCARNA14,0,other
SCARNA18,0,other
SCARNA18B,0,other
SCARNA20,0,other
SCARNA21,0,other
SCARNA23,0,other
SCARNA3,0,other
SCARNA5,0,other
SCARNA6,0,other
SCARNA7,0,other
SCARNA8,0,other
SCARNA9,0,other
SCART1,1,Protein Coding
SCCPDH,1,Protein Coding
SCD,1,Protein Coding
SCD5,0,Protein Coding
SCDP1,0,Pseudogene
SCEL,1,Protein Coding
SCEL-AS1,0,lncRNA
SCFD1,0,Protein Coding
SCFD2,1,Protein Coding
SCG2,1,Protein Coding
SCG3,1,Protein Coding
SCG5,1,Protein Coding
SCGB1A1,1,Protein Coding
SCGB1C1,0,Protein Coding
SCGB1C2,0,Protein Coding
SCGB1D1,0,Protein Coding
SCGB1D2,0,Protein Coding
SCGB1D4,0,Protein Coding
SCGB2A1,1,Protein Coding
SCGB2A2,0,Protein Coding
SCGB2B2,0,Protein Coding
SCGB3A1,1,Protein Coding
SCGB3A2,1,Protein Coding
SCGN,1,Protein Coding
SCHIP1,0,Protein Coding
SCHLAP1,0,lncRNA
SCIMP,1,Protein Coding
SCIN,1,Protein Coding
SCLT1,1,Protein Coding
SCLY,1,Protein Coding
SCMH1,1,TF
SCML1,1,TF
SCML2,0,TF
SCML4,0,TF
SCN10A,1,Protein Coding
SCN11A,0,Protein Coding
SCN1A,1,Protein Coding
SCN1B,1,Protein Coding
SCN2A,0,Protein Coding
SCN2B,0,Protein Coding
SCN3A,1,Protein Coding
SCN3B,1,Protein Coding
SCN4A,1,Protein Coding
SCN4B,1,Protein Coding
SCN5A,0,Protein Coding
SCN7A,1,Protein Coding
SCN8A,1,Protein Coding
SCN9A,1,Protein Coding
SCNM1,0,Protein Coding
SCNN1A,1,Protein Coding
SCNN1B,1,Protein Coding
SCNN1D,0,Protein Coding
SCNN1G,1,Protein Coding
SCO1,0,Protein Coding
SCO2,1,Protein Coding
SCOC,1,Protein Coding
SCOC-AS1,1,lncRNA
SCP2,0,Protein Coding
SCPEP1,1,Protein Coding
SCRG1,0,Protein Coding
SCRIB,1,Protein Coding
SCRN1,0,Protein Coding
SCRN2,1,Protein Coding
SCRN3,1,Protein Coding
SCRT1,0,TF
SCRT2,0,TF
SCT,1,Protein Coding
SCTR,1,Protein Coding
SCUBE1,0,Protein Coding
SCUBE1-AS1,0,lncRNA
SCUBE2,0,Protein Coding
SCUBE3,1,Protein Coding
SCX,1,Protein Coding
SCYL1,0,TF
SCYL2,1,Protein Coding
SCYL3,0,Protein Coding
SDAD1,0,Protein Coding
SDAD1P1,0,Pseudogene
SDAD1P2,0,Pseudogene
SDAD1P4,0,Pseudogene
SDC1,1,Protein Coding
SDC2,1,Protein Coding
SDC3,1,Protein Coding
SDC4,1,Protein Coding
SDC4P,0,Pseudogene
SDCBP,1,Protein Coding
SDCBP2,1,Protein Coding
SDCBP2-AS1,0,lncRNA
SDCBPP1,0,Pseudogene
SDCBPP2,0,Pseudogene
SDCBPP3,0,Pseudogene
SDCCAG8,1,Protein Coding
SDE2,0,Protein Coding
SDF2,0,Protein Coding
SDF2L1,0,Protein Coding
SDF4,1,Protein Coding
SDHA,1,Protein Coding
SDHAF1,0,Protein Coding
SDHAF2,1,Protein Coding
SDHAF3,0,Protein Coding
SDHAF4,1,Protein Coding
SDHAP1,0,Pseudogene
SDHAP3,0,Pseudogene
SDHB,1,Protein Coding
SDHC,0,Protein Coding
SDHD,1,Protein Coding
SDK1,1,Protein Coding
SDK2,1,Protein Coding
SDR16C5,1,Protein Coding
SDR39U1,0,Protein Coding
SDR42E1,1,Protein Coding
SDR42E2,0,Protein Coding
SDR9C7,0,Protein Coding
SDS,0,Protein Coding
SDSL,0,Protein Coding
SEBOX,0,TF
SEC11A,0,Protein Coding
SEC11B,0,Pseudogene
SEC11C,1,Protein Coding
SEC13,0,Protein Coding
SEC13P1,0,Pseudogene
SEC14L1,1,Protein Coding
SEC14L1P1,0,Pseudogene
SEC14L2,1,TF
SEC14L3,1,Protein Coding
SEC14L4,1,Protein Coding
SEC14L5,1,Protein Coding
SEC14L6,1,Protein Coding
SEC16A,1,Protein Coding
SEC16B,1,Protein Coding
SEC1P,0,Pseudogene
SEC22A,1,Protein Coding
SEC22B,1,Protein Coding
SEC22C,0,Protein Coding
SEC23A,1,Protein Coding
SEC23B,0,Protein Coding
SEC23IP,1,Protein Coding
SEC24A,1,Protein Coding
SEC24B,0,Protein Coding
SEC24B-AS1,0,lncRNA
SEC24C,1,Protein Coding
SEC24D,0,Protein Coding
SEC31A,0,Protein Coding
SEC31B,1,Protein Coding
SEC61A1,0,Protein Coding
SEC61A2,1,Protein Coding
SEC61B,0,Protein Coding
SEC61G,1,Protein Coding
SEC62,0,Protein Coding
SEC63,0,Protein Coding
SEC63P2,0,Pseudogene
SECISBP2,0,Protein Coding
SECISBP2L,0,Protein Coding
SECTM1,1,Protein Coding
SEH1L,0,Protein Coding
SEL1L,1,Protein Coding
SEL1L3,1,Protein Coding
SELE,1,Protein Coding
SELENBP1,1,Protein Coding
SELENOF,0,Protein Coding
SELENOH,1,Protein Coding
SELENOI,0,Protein Coding
SELENOK,1,Protein Coding
SELENOM,1,Protein Coding
SELENON,0,Protein Coding
SELENOO,1,Protein Coding
SELENOP,1,Protein Coding
SELENOS,0,Protein Coding
SELENOT,0,Protein Coding
SELENOV,0,Protein Coding
SELENOW,1,Protein Coding
SELL,1,Protein Coding
SELP,1,Protein Coding
SELPLG,1,Protein Coding
SEM1,1,Protein Coding
SEMA3A,1,Protein Coding
SEMA3B,1,Protein Coding
SEMA3C,1,Protein Coding
SEMA3D,1,Protein Coding
SEMA3E,1,Protein Coding
SEMA3F,1,Protein Coding
SEMA3F-AS1,0,lncRNA
SEMA3G,1,Protein Coding
SEMA4A,1,TF
SEMA4B,1,Protein Coding
SEMA4C,1,Protein Coding
SEMA4D,1,Protein Coding
SEMA4F,1,Protein Coding
SEMA4G,1,Protein Coding
SEMA5A,1,Protein Coding
SEMA5A-AS1,0,lncRNA
SEMA5B,0,Protein Coding
SEMA6A,1,Protein Coding
SEMA6A-AS1,1,lncRNA
SEMA6B,0,Protein Coding
SEMA6C,0,Protein Coding
SEMA6D,1,Protein Coding
SEMA7A,1,Protein Coding
SEMG1,0,Protein Coding
SEMG2,0,Protein Coding
SENCR,0,lncRNA
SENP1,1,Protein Coding
SENP2,0,Protein Coding
SENP3,0,Protein Coding
SENP3-EIF4A1,1,other
SENP5,0,Protein Coding
SENP6,1,Protein Coding
SENP7,1,Protein Coding
SENP8,0,Protein Coding
SEPHS1,1,Protein Coding
SEPHS1P6,0,Pseudogene
SEPHS2,0,Protein Coding
SEPSECS,1,Protein Coding
SEPSECS-AS1,0,lncRNA
SEPTIN1,0,Protein Coding
SEPTIN10,0,Protein Coding
SEPTIN10P1,0,Pseudogene
SEPTIN11,0,Protein Coding
SEPTIN12,0,Protein Coding
SEPTIN14,0,Protein Coding
SEPTIN2,0,Protein Coding
SEPTIN2P1,0,Pseudogene
SEPTIN3,0,Protein Coding
SEPTIN4,0,Protein Coding
SEPTIN5,0,Protein Coding
SEPTIN6,0,Protein Coding
SEPTIN7,0,Protein Coding
SEPTIN7-DT,0,lncRNA
SEPTIN7P2,0,Pseudogene
SEPTIN7P5,0,Pseudogene
SEPTIN7P6,0,Pseudogene
SEPTIN7P7,0,Pseudogene
SEPTIN7P8,0,Pseudogene
SEPTIN7P9,0,Pseudogene
SEPTIN8,0,Protein Coding
SEPTIN9,0,Protein Coding
SERAC1,0,Protein Coding
SERBP1,0,Protein Coding
SERBP1P3,0,Pseudogene
SERBP1P6,0,Pseudogene
SERF1A,0,Protein Coding
SERF1B,0,Protein Coding
SERF2,1,Protein Coding
SERGEF,0,Protein Coding
SERHL,0,Pseudogene
SERHL2,0,Protein Coding
SERINC1,0,Protein Coding
SERINC2,1,Protein Coding
SERINC3,1,Protein Coding
SERINC5,1,Protein Coding
SERP1,0,Protein Coding
SERP2,1,Protein Coding
SERPINA1,1,Protein Coding
SERPINA10,1,Protein Coding
SERPINA11,0,Protein Coding
SERPINA12,0,Protein Coding
SERPINA2,0,Protein Coding
SERPINA3,1,Protein Coding
SERPINA4,1,Protein Coding
SERPINA5,1,Protein Coding
SERPINA6,1,Protein Coding
SERPINA7,0,Protein Coding
SERPINA9,0,Protein Coding
SERPINB1,0,Protein Coding
SERPINB10,1,Protein Coding
SERPINB11,0,Protein Coding
SERPINB12,0,Protein Coding
SERPINB13,1,Protein Coding
SERPINB2,1,Protein Coding
SERPINB3,1,Protein Coding
SERPINB4,1,Protein Coding
SERPINB5,1,Protein Coding
SERPINB6,0,Protein Coding
SERPINB7,1,Protein Coding
SERPINB8,1,Protein Coding
SERPINB9,1,Protein Coding
SERPINB9P1,1,Pseudogene
SERPINC1,0,Protein Coding
SERPIND1,0,Protein Coding
SERPINE1,1,Protein Coding
SERPINE2,1,Protein Coding
SERPINF1,1,Protein Coding
SERPINF2,1,Protein Coding
SERPING1,1,Protein Coding
SERPINH1,1,Protein Coding
SERPINH1P1,0,Pseudogene
SERPINI1,1,Protein Coding
SERPINI2,1,Protein Coding
SERTAD1,0,TF
SERTAD2,1,TF
SERTAD3,1,TF
SERTAD4,1,Protein Coding
SERTAD4-AS1,1,lncRNA
SERTM1,1,Protein Coding
SERTM2,0,Protein Coding
SESN1,0,Protein Coding
SESN2,1,Protein Coding
SESN3,0,Protein Coding
SESTD1,1,Protein Coding
SET,1,Protein Coding
SETBP1,1,TF
SETD1A,1,TF
SETD1B,1,TF
SETD2,0,TF
SETD3,1,Protein Coding
SETD4,1,TF
SETD5,1,Protein Coding
SETD6,1,Protein Coding
SETD7,0,TF
SETD9,0,Protein Coding
SETDB1,1,TF
SETDB2,0,TF
SETMAR,1,Protein Coding
SETP11,0,Pseudogene
SETP12,0,Pseudogene
SETP14,0,Pseudogene
SETP16,0,Pseudogene
SETP17,0,Pseudogene
SETP21,0,Pseudogene
SETP4,0,Pseudogene
SETP8,0,Pseudogene
SETP9,0,Pseudogene
SETSIP,1,Protein Coding
SETX,1,Protein Coding
SEZ6,0,Protein Coding
SEZ6L,0,Protein Coding
SEZ6L2,1,Protein Coding
SF1,1,TF
SF3A1,1,Protein Coding
SF3A2,0,TF
SF3A3,0,TF
SF3A3P2,0,Pseudogene
SF3B1,1,Protein Coding
SF3B2,1,Protein Coding
SF3B3,0,Protein Coding
SF3B4,0,Protein Coding
SF3B5,1,Protein Coding
SF3B6,0,Protein Coding
SFI1,0,Protein Coding
SFMBT1,0,TF
SFMBT2,1,TF
SFN,1,Protein Coding
SFPQ,1,TF
SFR1,1,Protein Coding
SFRP1,1,Protein Coding
SFRP2,1,Protein Coding
SFRP4,1,Protein Coding
SFRP5,1,Protein Coding
SFSWAP,1,TF
SFT2D1,1,Protein Coding
SFT2D2,1,Protein Coding
SFTA1P,1,lncRNA
SFTA2,1,Protein Coding
SFTA3,1,other
SFTPA1,1,Protein Coding
SFTPA2,1,Protein Coding
SFTPB,1,Protein Coding
SFTPC,1,Protein Coding
SFTPD,1,Protein Coding
SFTPD-AS1,0,lncRNA
SFXN1,1,Protein Coding
SFXN2,1,Protein Coding
SFXN3,0,Protein Coding
SFXN4,0,Protein Coding
SFXN5,1,Protein Coding
SGCA,1,Protein Coding
SGCB,1,Protein Coding
SGCD,1,Protein Coding
SGCE,1,Protein Coding
SGCG,1,Protein Coding
SGCZ,0,Protein Coding
SGF29,0,Protein Coding
SGIP1,1,Protein Coding
SGK1,1,Protein Coding
SGK2,1,Protein Coding
SGK3,0,Protein Coding
SGMS1,1,Protein Coding
SGMS1-AS1,0,lncRNA
SGMS2,1,Protein Coding
SGO1,0,Protein Coding
SGO1-AS1,0,lncRNA
SGO2,1,Protein Coding
SGPL1,1,Protein Coding
SGPP1,1,Protein Coding
SGPP2,1,Protein Coding
SGSH,0,Protein Coding
SGSM1,1,Protein Coding
SGSM2,1,Protein Coding
SGSM3,1,Protein Coding
SGTA,1,Protein Coding
SGTB,1,Protein Coding
SH2B1,0,Protein Coding
SH2B2,1,Protein Coding
SH2B3,1,Protein Coding
SH2D1A,1,Protein Coding
SH2D1B,1,Protein Coding
SH2D2A,1,Protein Coding
SH2D3A,1,Protein Coding
SH2D3C,1,Protein Coding
SH2D4A,1,Protein Coding
SH2D4B,0,Protein Coding
SH2D5,0,Protein Coding
SH2D6,0,Protein Coding
SH3BGR,0,Protein Coding
SH3BGRL,1,Protein Coding
SH3BGRL2,1,Protein Coding
SH3BGRL3,0,Protein Coding
SH3BP1,1,Protein Coding
SH3BP2,1,Protein Coding
SH3BP4,1,Protein Coding
SH3BP5,1,Protein Coding
SH3BP5-AS1,0,lncRNA
SH3BP5L,1,Protein Coding
SH3D19,1,Protein Coding
SH3D21,0,Protein Coding
SH3GL1,1,Protein Coding
SH3GL1P1,0,Pseudogene
SH3GL2,1,Protein Coding
SH3GL3,1,Protein Coding
SH3GLB1,0,Protein Coding
SH3GLB2,1,Protein Coding
SH3KBP1,1,Protein Coding
SH3PXD2A,1,Protein Coding
SH3PXD2A-AS1,1,lncRNA
SH3PXD2B,1,Protein Coding
SH3RF1,1,Protein Coding
SH3RF2,1,Protein Coding
SH3RF3,1,Protein Coding
SH3RF3-AS1,1,lncRNA
SH3TC1,1,Protein Coding
SH3TC2,1,Protein Coding
SH3YL1,1,Protein Coding
SHANK1,0,Protein Coding
SHANK2,1,Protein Coding
SHANK2-AS1,0,lncRNA
SHANK2-AS3,0,lncRNA
SHANK3,1,Protein Coding
SHARPIN,1,Protein Coding
SHB,1,Protein Coding
SHBG,1,Protein Coding
SHC1,1,Protein Coding
SHC1P1,0,Pseudogene
SHC1P2,0,Pseudogene
SHC2,1,Protein Coding
SHC3,0,Protein Coding
SHC4,0,Protein Coding
SHCBP1,1,Protein Coding
SHCBP1L,0,Protein Coding
SHD,1,Protein Coding
SHE,1,Protein Coding
SHF,1,Protein Coding
SHFL,0,Protein Coding
SHH,1,TF
SHISA2,1,Protein Coding
SHISA3,0,Protein Coding
SHISA4,1,Protein Coding
SHISA5,0,Protein Coding
SHISA6,1,Protein Coding
SHISA7,0,Protein Coding
SHISA8,0,Protein Coding
SHISA9,0,Protein Coding
SHISAL1,0,Protein Coding
SHISAL2A,0,Protein Coding
SHISAL2B,0,Protein Coding
SHKBP1,1,Protein Coding
SHLD1,0,Protein Coding
SHLD2,0,Protein Coding
SHLD2P3,0,Pseudogene
SHLD3,0,Protein Coding
SHMT1,1,Protein Coding
SHMT1P1,0,Pseudogene
SHMT2,0,Protein Coding
SHOC1,0,Protein Coding
SHOC2,0,Protein Coding
SHOX,1,Protein Coding
SHOX2,0,TF
SHPK,0,Protein Coding
SHPRH,1,TF
SHQ1,0,Protein Coding
SHROOM1,1,Protein Coding
SHROOM2,1,Protein Coding
SHROOM3,1,Protein Coding
SHROOM4,1,Protein Coding
SHTN1,1,Protein Coding
SI,1,Protein Coding
SIAE,1,Protein Coding
SIAH1,0,Protein Coding
SIAH2,1,TF
SIAH3,0,Protein Coding
SIDT1,1,Protein Coding
SIDT2,1,Protein Coding
SIGIRR,1,TF
SIGLEC1,1,Protein Coding
SIGLEC10,1,Protein Coding
SIGLEC11,1,Protein Coding
SIGLEC12,1,Protein Coding
SIGLEC14,1,Protein Coding
SIGLEC15,0,Protein Coding
SIGLEC16,0,Protein Coding
SIGLEC17P,0,Pseudogene
SIGLEC18P,0,Pseudogene
SIGLEC29P,0,Pseudogene
SIGLEC5,1,Protein Coding
SIGLEC6,1,Protein Coding
SIGLEC7,1,Protein Coding
SIGLEC8,1,Protein Coding
SIGLEC9,1,Protein Coding
SIGLECL1,0,Protein Coding
SIGMAR1,1,Protein Coding
SIK1,1,Protein Coding
SIK1B,0,other
SIK2,1,Protein Coding
SIK3,1,Protein Coding
SIKE1,1,Protein Coding
SIL1,1,Protein Coding
SILC1,0,lncRNA
SIM1,0,TF
SIM2,1,TF
SIMC1,0,Protein Coding
SIN3A,0,TF
SIN3B,1,TF
SINHCAF,0,Protein Coding
SINHCAFP1,0,Pseudogene
SINHCAFP3,0,Pseudogene
SIPA1,1,Protein Coding
SIPA1L1,1,Protein Coding
SIPA1L2,1,Protein Coding
SIPA1L3,1,Protein Coding
SIRPA,1,Protein Coding
SIRPAP1,0,Pseudogene
SIRPB1,1,Protein Coding
SIRPB2,1,Protein Coding
SIRPD,1,Protein Coding
SIRPG,1,Protein Coding
SIRPG-AS1,0,lncRNA
SIRT1,1,TF
SIRT2,1,TF
SIRT3,0,TF
SIRT4,0,TF
SIRT5,1,TF
SIRT6,1,TF
SIRT7,1,TF
SIT1,1,Protein Coding
SIVA1,1,Protein Coding
SIX1,1,TF
SIX2,1,TF
SIX3,1,TF
SIX3-AS1,1,lncRNA
SIX4,1,TF
SIX5,1,TF
SIX6,0,TF
SKA1,0,Protein Coding
SKA2,0,Protein Coding
SKA3,1,Protein Coding
SKAP1,1,Protein Coding
SKAP1-AS1,0,lncRNA
SKAP2,1,Protein Coding
SKI,1,TF
SKIDA1,0,TF
SKIL,1,TF
SKIV2L,1,Protein Coding
SKOR1,0,TF
SKP1,1,Protein Coding
SKP2,1,Protein Coding
SLA,1,Protein Coding
SLA2,1,TF
SLAIN1,1,Protein Coding
SLAIN2,1,Protein Coding
SLAMF1,1,Protein Coding
SLAMF6,1,Protein Coding
SLAMF6P1,0,Pseudogene
SLAMF7,1,Protein Coding
SLAMF8,1,Protein Coding
SLAMF9,0,Protein Coding
SLBP,0,Protein Coding
SLC10A1,1,Protein Coding
SLC10A2,1,Protein Coding
SLC10A3,1,Protein Coding
SLC10A4,0,Protein Coding
SLC10A5,1,Protein Coding
SLC10A6,1,Protein Coding
SLC10A7,1,Protein Coding
SLC11A1,1,Protein Coding
SLC11A2,1,Protein Coding
SLC12A1,0,Protein Coding
SLC12A2,1,Protein Coding
SLC12A3,0,Protein Coding
SLC12A4,0,Protein Coding
SLC12A5,0,Protein Coding
SLC12A5-AS1,0,lncRNA
SLC12A6,1,Protein Coding
SLC12A7,1,Protein Coding
SLC12A8,1,Protein Coding
SLC12A9,1,Protein Coding
SLC13A1,0,Protein Coding
SLC13A2,1,Protein Coding
SLC13A3,0,Protein Coding
SLC13A4,0,Protein Coding
SLC13A5,1,Protein Coding
SLC14A1,1,Protein Coding
SLC14A2,0,Protein Coding
SLC14A2-AS1,1,lncRNA
SLC15A1,1,Protein Coding
SLC15A2,1,Protein Coding
SLC15A3,1,Protein Coding
SLC15A4,1,Protein Coding
SLC15A5,0,Protein Coding
SLC16A1,1,Protein Coding
SLC16A10,0,Protein Coding
SLC16A11,1,Protein Coding
SLC16A12,1,Protein Coding
SLC16A13,0,Protein Coding
SLC16A14,1,Protein Coding
SLC16A1-AS1,1,lncRNA
SLC16A2,1,Protein Coding
SLC16A3,1,Protein Coding
SLC16A4,1,Protein Coding
SLC16A5,1,Protein Coding
SLC16A6,1,Protein Coding
SLC16A7,1,Protein Coding
SLC16A8,0,Protein Coding
SLC16A9,0,Protein Coding
SLC17A1,0,Protein Coding
SLC17A2,0,Protein Coding
SLC17A3,0,Protein Coding
SLC17A4,1,Protein Coding
SLC17A5,0,Protein Coding
SLC17A6,0,Protein Coding
SLC17A7,0,Protein Coding
SLC17A8,0,Protein Coding
SLC17A9,1,Protein Coding
SLC18A1,1,Protein Coding
SLC18A2,1,Protein Coding
SLC18A3,1,Protein Coding
SLC18B1,1,Protein Coding
SLC19A1,1,Protein Coding
SLC19A2,0,Protein Coding
SLC19A3,1,Protein Coding
SLC1A1,1,Protein Coding
SLC1A2,0,Protein Coding
SLC1A3,1,Protein Coding
SLC1A4,1,Protein Coding
SLC1A5,1,Protein Coding
SLC1A6,0,Protein Coding
SLC1A7,0,Protein Coding
SLC20A1,1,Protein Coding
SLC20A2,1,Protein Coding
SLC22A1,1,Protein Coding
SLC22A10,1,Protein Coding
SLC22A11,0,Protein Coding
SLC22A12,0,Protein Coding
SLC22A13,0,Protein Coding
SLC22A14,0,Protein Coding
SLC22A15,1,Protein Coding
SLC22A16,0,Protein Coding
SLC22A17,0,Protein Coding
SLC22A18,0,Protein Coding
SLC22A18AS,1,lncRNA
SLC22A2,0,Protein Coding
SLC22A23,1,Protein Coding
SLC22A24,0,Protein Coding
SLC22A25,0,Protein Coding
SLC22A3,1,Protein Coding
SLC22A31,0,Protein Coding
SLC22A4,1,TF
SLC22A5,1,Protein Coding
SLC22A6,0,Protein Coding
SLC22A7,0,Protein Coding
SLC22A8,0,Protein Coding
SLC22A9,0,Protein Coding
SLC23A1,0,Protein Coding
SLC23A2,1,Protein Coding
SLC23A3,1,Protein Coding
SLC24A1,0,Protein Coding
SLC24A2,1,Protein Coding
SLC24A3,1,Protein Coding
SLC24A4,1,Protein Coding
SLC24A5,0,Protein Coding
SLC25A1,1,Protein Coding
SLC25A10,1,Protein Coding
SLC25A11,1,Protein Coding
SLC25A12,0,Protein Coding
SLC25A13,1,Protein Coding
SLC25A14,0,Protein Coding
SLC25A15,1,Protein Coding
SLC25A16,1,Protein Coding
SLC25A17,1,Protein Coding
SLC25A18,0,Protein Coding
SLC25A19,1,Protein Coding
SLC25A1P3,0,Pseudogene
SLC25A2,0,Protein Coding
SLC25A20,1,Protein Coding
SLC25A21,1,Protein Coding
SLC25A21-AS1,1,lncRNA
SLC25A22,1,Protein Coding
SLC25A23,1,Protein Coding
SLC25A24,1,Protein Coding
SLC25A24P1,0,Pseudogene
SLC25A25,1,Protein Coding
SLC25A25-AS1,0,lncRNA
SLC25A26,1,Protein Coding
SLC25A27,0,Protein Coding
SLC25A28,1,Protein Coding
SLC25A29,1,Protein Coding
SLC25A3,1,Protein Coding
SLC25A30,1,Protein Coding
SLC25A31,0,Protein Coding
SLC25A32,1,Protein Coding
SLC25A33,0,Protein Coding
SLC25A34,0,Protein Coding
SLC25A35,1,Protein Coding
SLC25A36,1,Protein Coding
SLC25A36P1,0,Pseudogene
SLC25A37,1,Protein Coding
SLC25A38,1,Protein Coding
SLC25A38P1,0,Pseudogene
SLC25A39,0,Protein Coding
SLC25A39P1,0,Pseudogene
SLC25A4,0,Protein Coding
SLC25A40,1,Protein Coding
SLC25A41,0,Protein Coding
SLC25A42,1,Protein Coding
SLC25A43,1,Protein Coding
SLC25A44,0,Protein Coding
SLC25A45,1,Protein Coding
SLC25A46,0,Protein Coding
SLC25A47,0,Protein Coding
SLC25A48,0,Protein Coding
SLC25A5,1,Protein Coding
SLC25A51,0,Protein Coding
SLC25A51P1,0,Pseudogene
SLC25A51P3,0,Pseudogene
SLC25A52,0,Protein Coding
SLC25A53,0,Protein Coding
SLC25A5-AS1,0,lncRNA
SLC25A5P1,0,Pseudogene
SLC25A5P4,0,Pseudogene
SLC25A6,0,Protein Coding
SLC25A6P2,0,Pseudogene
SLC25A6P3,0,Pseudogene
SLC26A1,0,Protein Coding
SLC26A10,0,TF
SLC26A11,0,Protein Coding
SLC26A2,1,Protein Coding
SLC26A3,1,TF
SLC26A4,1,Protein Coding
SLC26A4-AS1,0,lncRNA
SLC26A5,1,Protein Coding
SLC26A6,1,Protein Coding
SLC26A7,1,Protein Coding
SLC26A8,1,Protein Coding
SLC26A9,1,Protein Coding
SLC27A1,0,Protein Coding
SLC27A2,1,Protein Coding
SLC27A3,0,Protein Coding
SLC27A4,1,Protein Coding
SLC27A5,0,Protein Coding
SLC27A6,0,Protein Coding
SLC28A1,0,Protein Coding
SLC28A2,1,Protein Coding
SLC28A3,1,Protein Coding
SLC29A1,1,Protein Coding
SLC29A2,1,Protein Coding
SLC29A3,1,Protein Coding
